State,Sector,Metric,Value,Units,Source,
Alabama,Recreational,Income,"217,000",Thousand USD,"NOAA FEUS 2022, page 15",https://media.fisheries.noaa.gov/2024-07/FEUS-2022-v04-0.pdf
Alabama,Commercial,Income,"139,904",Thousand USD,"NOAA FEUS 2022, page 9",
Alabama,Recreational,Employment,"5,506",Jobs,"NOAA FEUS 2022, page 15",
Alabama,Commercial,Employment,"6,971",Jobs,"NOAA FEUS 2022, page 9",
Alabama,Recreational,Value Added,"399,000",Thousand USD,"NOAA FEUS 2022, page 15",
Alabama,Commercial,Value Added,"195,934",Thousand USD,"NOAA FEUS 2022, page 9",
Alabama,Recreational,Sales,"745,000",Thousand USD,"NOAA FEUS 2022, page 15",
Alabama,Commercial,Sales,"442,927",Thousand USD,"NOAA FEUS 2022, page 9",
Alabama,Recreational,Production,"8,685",Metric Tons,NOAA FOSS,https://www.fisheries.noaa.gov/foss/f?p=215:200:553643436800:::::
Alabama,Commercial,Production,"13,871",Metric Tons,NOAA FOSS,
Louisiana,Recreational,Income,"171,000",Thousand USD,"NOAA FEUS 2022, page 15",
Louisiana,Commercial,Income,"623,462",Thousand USD,"NOAA FEUS 2022, page 9",
Louisiana,Recreational,Employment,"4,552",Jobs,"NOAA FEUS 2022, page 15",
Louisiana,Commercial,Employment,"32,514",Jobs,"NOAA FEUS 2022, page 9",
Louisiana,Recreational,Value Added,"294,000",Thousand USD,"NOAA FEUS 2022, page 15",
Louisiana,Commercial,Value Added,"837,860",Thousand USD,"NOAA FEUS 2022, page 9",
Louisiana,Recreational,Sales,"590,000",Thousand USD,"NOAA FEUS 2022, page 15",
Louisiana,Commercial,Sales,"1,638,432",Thousand USD,"NOAA FEUS 2022, page 9",
Louisiana,Recreational,Production,,Metric Tons,NOAA FOSS,
Louisiana,Commercial,Production,"413,855",Metric Tons,NOAA FOSS,
Mississippi,Recreational,Income,"13,000",Thousand USD,"NOAA FEUS 2022, page 15",
Mississippi,Commercial,Income,"126,921",Thousand USD,"NOAA FEUS 2022, page 9",
Mississippi,Recreational,Employment,324,Jobs,"NOAA FEUS 2022, page 15",
Mississippi,Commercial,Employment,"6,954",Jobs,"NOAA FEUS 2022, page 9",
Mississippi,Recreational,Value Added,"30,000",Thousand USD,"NOAA FEUS 2022, page 15",
Mississippi,Commercial,Value Added,"165,074",Thousand USD,"NOAA FEUS 2022, page 9",
Mississippi,Recreational,Sales,"72,000",Thousand USD,"NOAA FEUS 2022, page 15",
Mississippi,Commercial,Sales,"329,349",Thousand USD,"NOAA FEUS 2022, page 9",
Mississippi,Recreational,Production,"4,917",Metric Tons,NOAA FOSS,
Mississippi,Commercial,Production,"141,018",Metric Tons,NOAA FOSS,
Texas,Recreational,Income,"261,000",Thousand USD,"NOAA FEUS 2022, page 15",
Texas,Commercial,Income,"1,259,222",Thousand USD,"NOAA FEUS 2022, page 9",
Texas,Recreational,Employment,"5,605",Jobs,"NOAA FEUS 2022, page 15",
Texas,Commercial,Employment,"41,171",Jobs,"NOAA FEUS 2022, page 9",
Texas,Recreational,Value Added,"450,000",Thousand USD,"NOAA FEUS 2022, page 15",
Texas,Commercial,Value Added,"2,048,829",Thousand USD,"NOAA FEUS 2022, page 9",
Texas,Recreational,Sales,"793,000",Thousand USD,"NOAA FEUS 2022, page 15",
Texas,Commercial,Sales,"5,584,290",Thousand USD,"NOAA FEUS 2022, page 9",
Texas,Recreational,Production,,Metric Tons,NOAA FOSS,
Texas,Commercial,Production,"27,889",Metric Tons,NOAA FOSS,
Florida,Recreational,Income,"1,350,000",Thousand USD,"NOAA FEUS 2022, page 15",
Florida,Commercial,Income,"4,578,530",Thousand USD,"NOAA FEUS 2022, page 9",
Florida,Recreational,Employment,"28,546",Jobs,"NOAA FEUS 2022, page 15",
Florida,Commercial,Employment,"121,710",Jobs,"NOAA FEUS 2022, page 9",
Florida,Recreational,Value Added,"2,401,000",Thousand USD,"NOAA FEUS 2022, page 15",
Florida,Commercial,Value Added,"8,206,789",Thousand USD,"NOAA FEUS 2022, page 9",
Florida,Recreational,Sales,"3,936,000",Thousand USD,"NOAA FEUS 2022, page 15",
Florida,Commercial,Sales,"24,596,469",Thousand USD,"NOAA FEUS 2022, page 9",
Florida,Recreational,Production,"60,556",Metric Tons,NOAA FOSS,
Florida,Commercial,Production,"49,902",Metric Tons,NOAA FOSS,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
